HELPER,class,team
luis sanchez07/04/2004tocumen- pan,2026,OAK
luis sigua11/28/2005arecibo- are,2026,UNSIGNED
lyndon allen11/07/2004crawfordsville- in,2026,TOR
lynwood bergeron08/21/2007tulsa- ok,2026,CWS
mac watson08/14/2004los angeles- ca,2026,SF
mal rivera11/25/2007chandler- az,2026,CLE
manny hernandez10/10/2004montgomery village- md,2026,HOU
manny mireles11/09/2003san francisco- ca,2026,STL
manny reyes07/11/2003sandusky- oh,2026,CIN
marc garrett05/01/2008los angeles- ca,2026,OAK
mario bencomo02/17/2006sabana grande- pon,2026,WAS
mario loriga07/30/2003garland- tx,2026,WAS
mario vazquez04/27/2003san juan- san,2026,DET
marlon nelson03/08/2004boylston- ma,2026,NYY
mauro hernandez10/01/2005marshfield- ma,2026,KC
max birkholz03/08/2008bridgton- me,2026,ATL
max davis02/02/2008jackson- ms,2026,NYY
max ortiz04/01/2004orlando- fl,2026,UNSIGNED
max plummer11/25/2004broadview- il,2026,BAL
micheal bird08/20/2004stone mountain- ga,2026,KC
mike andrews11/20/2003lakewood- nj,2026,COL
mike black07/25/2005mobridge- sd,2026,PHI
mike burgess10/04/2007ft. lee- nj,2026,UNSIGNED
mike butler06/04/2003roxana- il,2026,BAL
mike carr01/05/2006greenfield- wi,2026,LAA
mike davenport08/01/2004chicago- il,2026,LAA
mike dillard03/18/2007ferndale- mi,2026,UNSIGNED
mike dunn08/05/2007new orleans- la,2026,HOU
mike dunson08/31/2007south haven- in,2026,ATL
mike flanagan03/08/2008delmar- ny,2026,DET
mike fowler01/29/2003bridgeport- ct,2026,BOS
mike gentry01/19/2005south pasadena- ca,2026,STL
mike hilton03/29/2007charlotte- nc,2026,UNSIGNED
mike lallemand03/07/2005windsor- on,2026,COL
mike lee02/09/2003roseville- ca,2026,UNSIGNED
mike moore04/24/2005philadelphia- pa,2026,PHI
mike muller05/19/2006south brooksville- fl,2026,COL
mike parsons11/21/2007north attleborough center- ma,2026,PHI
mike scott02/27/2005clearfield- ut,2026,UNSIGNED
mike smith02/25/2007benbrook- tx,2026,BAL
mike smith06/18/2006ridgeland- ms,2026,UNSIGNED
mike st. john10/19/2004sunnyvale- ca,2026,SEA
mike stalker02/03/2004smyrna- ga,2026,LAA
mike stinson09/28/2002gray- me,2026,TB
mike swanson12/04/2007east pittsburgh- pa,2026,UNSIGNED
mike thomas04/12/2008blackhawk-camino tassajara- ca,2026,MIN
mike weber01/20/2005conshohocken- pa,2026,COL
mike wright02/25/2003cleveland- oh,2026,ATL
mike young06/09/2007rockford- il,2026,CWS
milo kennedy07/11/2003bedford- va,2026,CHC
milo thomason04/15/2003north little rock- ar,2026,WAS
ming-an zhang04/18/2008thunder bay- on,2026,SD
mitch baker03/28/2007quincy- il,2026,NYM
monte mason11/21/2007alamo- tx,2026,UNSIGNED
monte taylor10/05/2004troy- mo,2026,HOU
monty evans08/05/2003lenexa- ks,2026,DET
myles hinxman09/18/2008surrey- bc,2026,DET
myron kent06/08/2007metairie- la,2026,MIN
nacho molina07/05/2005agawam- ma,2026,BAL
nakula purbacaraka05/06/2007boston- ma,2026,ATL
nate smith09/25/2004new york- ny,2026,WAS
nate williams05/18/2004tamiami- fl,2026,TOR
norberto montoya05/16/2008indian hills- ky,2026,UNSIGNED
norm dalton03/22/2007lower grand lagoon- fl,2026,MIL
norm pilkington05/03/2004sudbury- on,2026,UNSIGNED
norm schwartz02/04/2003edmonton- ab,2026,MIL
octavio bernard07/07/2008cleveland- oh,2026,STL
ollie delaney06/14/2007brooklyn- ny,2026,SEA
ollie ford02/17/2005gleneagle- co,2026,MIN
ollie french03/28/2008onalaska- wi,2026,MIA
orlando ayala07/16/2002carolina- car,2026,LAD
orlando galindo04/02/2003carolina- car,2026,CIN
orlando hernandez02/18/2005mansfield- oh,2026,TOR
orlando lopez11/05/2003santa ana- ca,2026,NYM
orlando robles04/02/2006boston- ma,2026,CIN
oscar glenn09/28/2007stratham- nh,2026,BOS
oscar rose05/25/2003new york- ny,2026,LAD
oscar young09/18/2007freeport- il,2026,TEX
p.j. wilson05/02/2008alexandria- va,2026,UNSIGNED
pat bishop02/11/2007new york- ny,2026,TEX
pat black12/16/2007aspen hill- md,2026,PIT
pat burris09/17/2007aberdeen- wa,2026,MIN
pat cook09/08/2004san rafael- ca,2026,ARI
pat corbin11/14/2005los gatos- ca,2026,NYY
pat dewitt10/30/2003olive branch- ms,2026,NYY
pat evans02/06/2004new york- ny,2026,STL
pat garrett03/04/2007scottdale- ga,2026,PHI
pat hernandez09/22/2007bloomingdale- nj,2026,UNSIGNED
pat hicks09/30/2007saginaw- mi,2026,NYM
pat kirk04/19/2007florence-graham- ca,2026,UNSIGNED
pat morrison12/09/2007painesville- oh,2026,BAL
pat simmons02/15/2007troy- ny,2026,UNSIGNED
pepe padilla10/17/2003juncos- hum,2026,BAL
pete boyd11/28/2005grand rapids- mi,2026,WAS
pete oglethorpe12/26/2004jersey city- nj,2026,MIA
pete oglethorpe12/29/2007anaheim- ca,2026,MIN
pete smith02/01/2004argos- in,2026,TOR
pete walker12/03/2007fredericksburg- tx,2026,CWS
pete werner11/14/2007calcutta- oh,2026,NYM
pete wilson09/10/2004new york- ny,2026,WAS
phil adams07/23/2005abington township- pa,2026,CIN
phil mahoney08/19/2004pennington gap- va,2026,KC
phil walton03/17/2008gardner- ma,2026,UNSIGNED
phil watts05/30/2008freeport- il,2026,ARI
randy davenport02/11/2004chicago- il,2026,SD
randy harper03/28/2008san jose- ca,2026,UNSIGNED
randy holland07/24/2004princeton- in,2026,UNSIGNED
randy maloney07/29/2007ballenger creek- md,2026,LAA
randy wilder06/20/2003livingston- nj,2026,CIN
randy young11/14/2007suisun city- ca,2026,NYM
raul amador04/09/2008clayton- nj,2026,NYM
raul martinez03/06/2008santiago de cuba- san,2026,UNSIGNED
raul moran09/20/2007new york- ny,2026,HOU
raul quintero03/13/2008grand junction- co,2026,CLE
reginald eaton07/06/2008jacksonville- fl,2026,LAA
reginald manning07/05/2007midfield- al,2026,TEX
rex macrurie05/25/2004firestone- co,2026,UNSIGNED
rex rose11/18/2007richmond- va,2026,UNSIGNED
rob garcia07/23/2007new york- ny,2026,TB
rob giles11/12/2007kilgore- tx,2026,PIT
rob gomez03/07/2004houston- tx,2026,BAL
rob madden06/23/2007tampa- fl,2026,NYY
rob mcdonald01/17/2008inniswold- la,2026,MIN
rob moore10/20/2007fayetteville- nc,2026,UNSIGNED
rob smart09/06/2005nashville- tn,2026,UNSIGNED
rob thomas11/24/2007los angeles- ca,2026,LAD
rob walker10/10/2006south bay- fl,2026,CLE
robbie allen05/14/2004miami gardens- fl,2026,UNSIGNED
robbie allen05/28/2008new britain- ct,2026,UNSIGNED
robbie mackinney01/31/2005stow- oh,2026,CIN
robby beaver03/26/2008alva- fl,2026,PIT
robby davidson06/20/2004saugus- ma,2026,HOU
robby king09/26/2005oakland- ca,2026,HOU
robinson luna02/03/2004ponce- pon,2026,SEA
rod everson03/16/2005dalhart- tx,2026,ATL
rod magee05/05/2005jeffersonville- in,2026,SD
rod whitaker07/13/2008foley- al,2026,UNSIGNED
rodrigo cortes07/07/2007kearny- nj,2026,PIT
ron anderson11/29/2007paris- ky,2026,CWS
ron ball06/30/2007bartow- fl,2026,TB
ron barnes12/06/2005dunedin- fl,2026,BAL
ron bass05/06/2008vernon- ct,2026,LAD
ron bennett02/13/2007stanton- ca,2026,HOU
ron brown08/24/2005willits- ca,2026,UNSIGNED
ron bryant06/23/2007chicago- il,2026,DET
ron conrad08/29/2003mesquite- tx,2026,STL
ron dempsey11/29/2003oswego- ny,2026,DET
ron fields08/08/2007washington- dc,2026,BOS
ron gardner06/18/2007rye- ny,2026,UNSIGNED
ron larson09/11/2005stockton- ca,2026,PHI
ron parker09/27/2003arlington- va,2026,TOR
ron ross02/28/2007heathcote- nj,2026,SD
ron whitney10/27/2007milwaukee- wi,2026,UNSIGNED
ron young01/27/2007titusville- fl,2026,SF
ronnie davis04/13/2005phoenix- az,2026,PIT
ruben baca08/31/2004town 'n' country- fl,2026,WAS
ruben nunez12/05/2004san sebastian- may,2026,BOS
ruben ortega06/23/2004chicago- il,2026,UNSIGNED
ruben valdez10/08/2007memphis- tn,2026,UNSIGNED
rudy tillman10/05/2007arlington- tx,2026,KC
rusty brooks07/30/2004chicago- il,2026,CLE
rusty ramirez02/23/2007oxnard- ca,2026,SF
sam cain07/30/2005eldersburg- md,2026,CWS
sam copeland01/08/2005greene- me,2026,BOS
sam mitchell05/11/2005smith mills- ma,2026,CLE
sam varner10/04/2004buckingham- qc,2026,SD
sancho maldonado09/24/2007karnes city- tx,2026,CWS
scotty parker07/01/2005carteret- nj,2026,LAA
scotty parkinson12/10/2003gonzalez- fl,2026,COL
sean cooper04/05/2004omaha- ne,2026,CLE
sean dougherty12/31/2003brooklyn- ny,2026,TOR
sean fitzgerald02/04/2006new york- ny,2026,SF
sean gordon11/22/2007carrollton- tx,2026,UNSIGNED
sergio alfonso05/19/2004erma- nj,2026,TOR
sergio calderon10/22/2005san juan- san,2026,STL
sergio freitas01/19/2005ponce- pon,2026,CWS
sergio lopez11/23/2005englewood- co,2026,BAL
sergio ortiz10/21/2004philadelphia- pa,2026,ATL
sergio santana03/31/2005memphis- tn,2026,BAL
sergio solis10/22/2007carolina- car,2026,BOS
shaun kelly12/25/2006burlington- vt,2026,NYY
shaun owens06/22/2004milan- tn,2026,WAS
shawn bailey12/13/2007ft. worth- tx,2026,SD
shawn brown04/14/2005baldwin park- ca,2026,SF
shawn evans02/28/2008philadelphia- pa,2026,CIN
shawn fletcher10/02/2007westford- ma,2026,WAS
shawn green02/06/2005grandview- wa,2026,NYM
shawn martin09/29/2007omaha- ne,2026,STL
shawn spencer10/03/2007west warwick- ri,2026,MIL
shuan-yan ming04/16/2005laredo- tx,2026,TB
stan drinkard10/16/2004woodside- ca,2026,PIT
stan eldridge08/19/2003neptune city- nj,2026,CWS
stan epton06/13/2004amherst- ny,2026,COL
stan hicks05/30/2004coshocton- oh,2026,HOU
stan landry01/10/2005valrico- fl,2026,KC
stan mitchell04/06/2005chantilly- va,2026,SF
stan plummer08/05/2007san diego- ca,2026,STL
stan villa10/18/2004andover- ma,2026,SEA
stan walker10/20/2003jacksonville- fl,2026,MIN
steffen drew10/10/2008colleyville- tx,2026,DET
steffen hall02/19/2007georgetown- oh,2026,MIN
steffen mathews08/02/2004springfield- mo,2026,COL
steffen stewart09/29/2005henderson- nv,2026,HOU
stephen mctavish02/01/2005ottawa- on,2026,DET
stephen pi03/06/2005vaughan- on,2026,BOS
steve anthony03/04/2004memphis- tn,2026,TB
steve austin06/13/2007eagle pass- tx,2026,TB
steve austin12/11/2007houston- tx,2026,ARI
steve brewin03/04/2008lynchburg- va,2026,KC
steve brown11/22/2003upland- ca,2026,WAS
steve bush02/28/2003cody- wy,2026,CIN
steve carter01/24/2004los angeles- ca,2026,CHC
steve clements04/27/2008new york- ny,2026,PHI
steve cusack09/04/2007mentor-on-the-lake- oh,2026,UNSIGNED
steve dixon06/10/2007lincoln park- mi,2026,CLE
steve donahue11/18/2004lexington- ky,2026,KC
steve douglas02/05/2007mooresville- nc,2026,MIA
steve ewing08/01/2004lakewood- oh,2026,MIA
steve good04/14/2004east greenwich- ri,2026,BAL
steve harris02/10/2005worcester- ma,2026,HOU
steve hilton04/07/2006chapel hill- nc,2026,UNSIGNED
steve hines03/07/2008st. charles- il,2026,CHC
steve lewis08/17/2007poughkeepsie- ny,2026,LAA
steve marshall06/13/2003st. petersburg- fl,2026,ARI
steve may07/30/2004colmar manor- md,2026,HOU
steve mcmillan09/10/2003new york- ny,2026,KC
steve merritt07/29/2004morristown- nj,2026,PHI
steve miles10/23/2003dallas- tx,2026,LAD
steve milligan11/21/2004miami gardens- fl,2026,BAL
steve milligan11/29/2004highlands ranch- co,2026,MIA
steve richardson07/27/2005riverdale- il,2026,ARI
steve shelton03/13/2003berwyn- il,2026,TOR
steve shepherd06/25/2008dallas- tx,2026,UNSIGNED
steve shilling06/04/2003arlington- tx,2026,UNSIGNED
steve simmons04/30/2007vallejo- ca,2026,TB
steve skillenaer09/20/2007edinburg- tx,2026,CLE
steve tougher04/21/2007cuyahoga falls- oh,2026,OAK
steve uren01/10/2007brooklyn- ny,2026,TB
steve wilhelms03/21/2004fabens- tx,2026,CWS
steve willis12/23/2003woodmore- md,2026,DET
steve young10/17/2003southfield- mi,2026,UNSIGNED
stu alexander03/18/2005union park- fl,2026,UNSIGNED
stu burnett11/08/2002cheektowaga- ny,2026,NYY
stu walters01/29/2004edison- nj,2026,KC
t.j. mcelroy07/19/2007philadelphia- pa,2026,UNSIGNED
ted dixon10/25/2007oxford- al,2026,UNSIGNED
ted hutchison01/02/2006jellico- tn,2026,BOS
ted mitchell10/25/2008southchase- fl,2026,TEX
ted mullins09/20/2004san jose- ca,2026,PIT
ted richardson09/20/2005los angeles- ca,2026,MIA
ted wilson12/26/2007deschutes river woods- or,2026,UNSIGNED
teddy dunn07/22/2007louisville- ky,2026,CLE
teddy williams10/11/2007san diego- ca,2026,WAS
terrence grant01/02/2007yuma- az,2026,PIT
theron oliver11/10/2005high point- nc,2026,BOS
tim andrade05/18/2003brooklyn- ny,2026,PIT
tim benavidez05/21/2003indianapolis- in,2026,SEA
tim blue11/29/2007cedar park- tx,2026,UNSIGNED
tim bowen04/18/2006sharon- ma,2026,BAL
tim burgin04/08/2004montgomery- al,2026,DET
tim cash07/09/2007anderson- sc,2026,ATL
tim forgatch08/21/2008fontana- ca,2026,UNSIGNED
tim garrett02/18/2007the woodlands- tx,2026,TOR
tim haley07/09/2003eldorado at santa fe- nm,2026,PHI
tim hammond07/08/2003henderson- nv,2026,BOS
tim harris09/29/2004waukesha- wi,2026,BOS
tim hilton06/06/2004tucson- az,2026,BOS
tim jones05/27/2008westland- mi,2026,UNSIGNED
tim lewis02/19/2003brooklyn- ny,2026,TEX
tim miller06/19/2004ocala- fl,2026,SEA
tim monroe04/28/2007dallas- tx,2026,OAK
tim moss01/29/2007cambridge- ma,2026,CWS
tim paul12/10/2003phoenix- az,2026,CWS
tim ray07/25/2004hamlet- nc,2026,BAL
tim sweeney03/06/2004franklin- nh,2026,MIL
tim tomlinson02/06/2007kenner- la,2026,UNSIGNED
tim winstanley10/07/2004new york- ny,2026,ATL
toby sephton12/29/2003jersey city- nj,2026,SF
toby shaffer06/20/2003lorain- oh,2026,TOR
tomas hernandez07/19/2005fajardo- hum,2026,CHC
tomas martinez11/25/2004brooklyn- ny,2026,BOS
tommy berard10/06/2003waurika- ok,2026,TEX
tommy bunker02/25/2006indian harbour beach- fl,2026,KC
tommy sloan05/30/2004chicago- il,2026,UNSIGNED
tony benstead03/20/2004jersey city- nj,2026,ARI
tony candelaria08/23/2007memphis- tn,2026,ARI
tony horton10/14/2004los angeles- ca,2026,CLE
tony huerta01/18/2003corozal- gua,2026,CWS
tony jones07/21/2004gilroy- ca,2026,UNSIGNED
tony o'brian07/17/2004foothill farms- ca,2026,PHI
tony palmer04/13/2008jersey city- nj,2026,STL
tony serrano01/01/2008jasper- al,2026,CLE
tony sturges09/14/2007progreso- tx,2026,UNSIGNED
tony watson12/03/2003lexington- ma,2026,ARI
travis cochrane10/15/2004saint-charles-borromee- qc,2026,SD
ty hardison07/31/2003chesapeake- va,2026,MIL
ty james03/10/2008huber heights- oh,2026,UNSIGNED
ty lee02/10/2008brooklyn- ny,2026,UNSIGNED
ty mcdaniel02/12/2006east hill-meridian- wa,2026,LAD
tyrone cook06/20/2007hammond- la,2026,UNSIGNED
tyrone rivera12/16/2007auburn- il,2026,PIT
vern pratt12/01/2006stephenville- tx,2026,TOR
vic webster08/29/2007crystal lake- il,2026,UNSIGNED
victor crus08/21/2007dickinson- tx,2026,DET
victor diaz09/11/2007lake darby- oh,2026,HOU
victor leon07/20/2004aibonito- gua,2026,DET
victor pena02/08/2007quincy- il,2026,MIL
vince thomas08/11/2004new york- ny,2026,STL
virgil harvey06/24/2008west jordan- ut,2026,COL
virgil stokes02/10/2008sheridan- wy,2026,UNSIGNED
von sterling10/03/2004goodings grove- il,2026,MIN
wally ashley10/28/2007flagler beach- fl,2026,MIL
wally pryor02/20/2004lombard- il,2026,SF
walt richardson11/05/2003pecan grove- tx,2026,LAD
walt walker08/23/2005los angeles- ca,2026,UNSIGNED
waylon dixon03/24/2004roosevelt- ny,2026,SD
wes mackey10/04/2007norristown- pa,2026,PHI
whit hodge12/23/2004brooklyn- ny,2026,DET
wilbert miller12/22/2007logan- ut,2026,UNSIGNED
willie foster12/20/2007abington- ma,2026,UNSIGNED
willie harsh05/22/2004huntington beach- ca,2026,SEA
willie holland09/04/2007san diego- ca,2026,NYM
willie kessler09/07/2007berkeley- ca,2026,LAA
willie o'reilly09/29/2007lebanon- pa,2026,ARI
willie reid07/15/2007mentor- oh,2026,BAL
yudelkis lewis01/26/2005gulfport- ms,2026,ARI
zach page11/11/2007overlea- md,2026,UNSIGNED
zach white04/19/2005emporia- ks,2026,MIL
zach white05/03/2006winchester- nv,2026,STL
zak phillips12/27/2004manchester- nh,2026,HOU
zak white11/07/2005saxon- sc,2026,LAD
zander sherman08/05/2004whittier- ca,2026,SEA
zane casadei02/27/2006bristol- ct,2026,UNSIGNED
zia manjhi11/11/2007isla vista- ca,2026,UNSIGNED
jamie cadigon10/27/2003boca del mar- fl,2025,KC
rudy mills06/19/2004baytown- tx,2025,PIT
kevin hines12/07/2002sugar land- tx,2025,BOS
pat jacobs01/11/2003bryan- tx,2025,COL
tim cook01/17/2006reading- pa,2025,BAL
rob bridges01/06/2006ft. wayne- in,2025,LAA
ivan reyes08/30/2002meredith- nh,2025,ARI
dane evans03/24/2003burlington- ma,2025,SD
chris morton01/24/2003diamond bar- ca,2025,COL
danny hair06/29/2003hurst- tx,2025,CIN
adil ogutmen05/26/2003brooklyn- ny,2025,WAS
pete samuels06/25/2006toms river- nj,2025,LAA
jeff taylor03/15/2003brookline- ma,2025,UNSIGNED
alex miller11/19/2002merced- ca,2025,CLE
billy lewis02/08/2003chicago- il,2025,CIN
ed mckenzie12/20/2005yankton- sd,2025,MIA
joe meadows04/13/2005fayetteville- ar,2025,TB
doug davis04/30/2000vamo- fl,2025,CHC
curt white02/28/2004pembroke pines- fl,2025,HOU
phil wood02/03/2007north salt lake- ut,2025,UNSIGNED
rob chiwanda11/23/2002vestavia hills- al,2025,ARI
jim jones06/08/2001keyport- nj,2025,COL
ollie jackson07/06/2002santa ana- ca,2025,BAL
bob childers12/13/2003aurora- co,2025,CIN
dusty foley11/22/2005san jose- ca,2025,LAD
dominic funk12/03/2002calabasas- ca,2025,WAS
robbie savage09/09/2006wyoming- mn,2025,DET
dave hayden07/30/2003highlands ranch- co,2025,CIN
josh jenkins07/20/2002dallas- tx,2025,BOS
randy davenport02/11/2004chicago- il,2025,UNSIGNED
jon hilton03/01/2002charlotte- nc,2025,CLE
doug rigney06/06/2003woodstock- ga,2025,BOS
ron hunt08/17/2003rosamond- ca,2025,LAD
steve barnes04/14/2006san diego- ca,2025,SD
ron evans06/30/2003gloucester- ma,2025,COL
ronnie koch01/23/2002simi valley- ca,2025,CLE
cris villalobos06/29/2004mayaguez- may,2025,UNSIGNED
bob howard03/06/2004oklahoma city- ok,2025,MIN
victor hernandez09/01/2007new hope- mn,2025,SF
ron dempsey11/29/2003oswego- ny,2025,UNSIGNED
wilfred thomas11/12/2003east ridge- tn,2025,DET
josh mcintyre04/18/2000portland- or,2025,CIN
zach blackwell01/20/2002visalia- ca,2025,BOS
rob o'dorrian12/15/2003mariposa- ca,2025,CIN
garry morgan10/04/2003troy- mi,2025,STL
joaquin king08/24/2003cape coral- fl,2025,COL
darryl seth01/08/2003ogden- ut,2025,OAK
stan numbers05/16/2004chesapeake- va,2025,CIN
chris griffith07/24/2003laredo- tx,2025,PIT
chris hall10/11/2002havelock- nc,2025,TOR
dave gregg10/30/2003bartlett- tn,2025,PHI
charlie woodcock01/13/2003cupertino- ca,2025,CWS
mario rojas06/27/2003denver- co,2025,PIT
luis gomez03/01/2004san diego- ca,2025,CIN
jose malenado05/21/2002walton- ny,2025,UNSIGNED
darrel brewer10/13/2003long beach- ca,2025,COL
joe hernandez12/22/2002northvale- nj,2025,BOS
alvin holmes12/11/2005shaler township- pa,2025,ATL
ben johnston09/05/2007dallas- tx,2025,LAD
bob o'corley01/06/2002sandy- ut,2025,MIA
jim sheppard07/11/2003chicago- il,2025,TEX
tomas rodriguez07/15/2002milwaukee- wi,2025,HOU
steve dickey10/23/2006adrian- mi,2025,MIL
cristobal delgado07/04/2003los angeles- ca,2025,CIN
bob graham09/12/2006los angeles- ca,2025,DET
tommy henderson12/31/2002wilmington- nc,2025,MIL
horace bryant04/24/2002lower merion- pa,2025,WAS
dan baker10/30/2006waterford township- mi,2025,WAS
bob rodgers10/03/2003st. elmo- il,2025,BOS
bo maxwell06/13/2002goldsboro- nc,2025,SD
steve uchiyama12/13/2002knoxville- tn,2025,MIA
bob erickson03/18/2007houston- tx,2025,LAD
raul manchego11/28/2002denver- co,2025,ATL
clint sparks07/05/2004sheboygan- wi,2025,SF
joe conway10/10/2003los angeles- ca,2025,MIN
stan livingston09/17/2002jacksonville- fl,2025,COL
bob narea12/06/2002desoto- tx,2025,TB
steve reed12/26/2002newport news- va,2025,KC
jeff townsend06/05/2006sunny isles beach- fl,2025,UNSIGNED
dave sterling06/12/2003dentsville- sc,2025,BOS
clarence wilson05/21/2007tamarac- fl,2025,NYY
artie carney06/25/2006germantown- tn,2025,UNSIGNED
robby janzen06/04/2002fairview- nc,2025,BOS
chuck haas11/10/2006los angeles- ca,2025,BAL
tommy snyder02/06/2002el paso- tx,2025,STL
alex ross08/13/2004placentia- ca,2025,COL
arturo vargas06/03/2005sun valley- nv,2025,UNSIGNED
jim gregory08/25/2006jacksonville- fl,2025,PHI
jose molina09/13/2002yuba city- ca,2025,STL
ed jones12/16/2002san antonio- tx,2025,COL
jorge pagan09/16/2002midwest city- ok,2025,TB
bob pedersen06/18/2003charlotte- nc,2025,SD
phil gordon04/08/2006lee's summit- mo,2025,COL
trey gravel01/21/2006laval- qc,2025,UNSIGNED
edgardo quintana07/22/2003forest glen- md,2025,UNSIGNED
marc morrison11/29/2003niwot- co,2025,PIT
jerry smith08/08/2001avalon- ca,2025,MIA
sam cornett01/08/2007las vegas- nv,2025,MIL
jim goodman04/13/2004honolulu- hi,2025,HOU
trevor hauk03/21/2007london- on,2025,LAA
steve lowe03/23/2005arden-arcade- ca,2025,CWS
jimmy dawson04/11/2005barrington- ri,2025,WAS
joe cross12/16/2002bridgeport- ct,2025,CIN
hugh simons11/21/2003columbia- mo,2025,CIN
darrell evans11/07/2003memphis- fl,2025,COL
tim russell10/02/2000steamboat springs- co,2025,DET
don horn08/29/2005paradise- nv,2025,CWS
arief kawilarang10/28/2005memphis- tn,2025,LAD
jose colon09/18/2006carolina- car,2025,UNSIGNED
esteban hernandez08/07/2003danville- va,2025,CIN
johnny henry10/23/2002los angeles- ca,2025,NYY
mitch sullivan11/25/2002phoenix lake-cedar ridge- ca,2025,ATL
dan richter12/08/2002royal palm beach- fl,2025,TB
ed harris02/19/2005river edge- nj,2025,LAD
curt murphy11/09/2003bixby- ok,2025,TB
steve marshall06/13/2003st. petersburg- fl,2025,UNSIGNED
chip mcclain05/14/2002tucson- az,2025,COL
joe porter05/18/2005dearborn- mi,2025,HOU
ron sherman10/21/2002brandon- fl,2025,CLE
daron puckett07/02/2003detroit- mi,2025,DET
juan cordero12/07/2006east rockaway- ny,2025,CHC
ted meade02/22/2004dallas- tx,2025,CWS
tim winner05/19/2004bowling green- ky,2025,BAL
jose montanez05/31/2004des moines- ia,2025,HOU
darren walker09/16/2006bloomington- ca,2025,LAA
j.j. silver05/02/2005augusta- ga,2025,STL
greg goodman09/01/2005poughkeepsie- ny,2025,MIL
gene jefferson02/19/2003ozark- ar,2025,BOS
ed willard09/30/2002flower mound- tx,2025,ARI
jerry murray07/25/2002forestdale- ma,2025,PHI
shawn webber11/19/2003east los angeles- ca,2025,TOR
kevin webster03/23/2003des moines- ia,2025,CIN
greg cooper05/03/2004santee- ca,2025,LAA
mike wilson02/28/2007hamilton- oh,2025,ATL
chris lang04/29/2006senatobia- ms,2025,UNSIGNED
norm reynolds10/22/2006worthington hills- ky,2025,SEA
chris key07/20/2006warren- oh,2025,TB
jude infield05/30/2003shaker heights- oh,2025,COL
alan o'donnell11/02/2005oakville- mo,2025,CHC
andy strickland05/30/2004auburn- al,2025,CWS
steve bumpers10/30/2003renton- wa,2025,CIN
chris sargent01/29/2006glendale- az,2025,UNSIGNED
eugenio gonzalez07/24/2003san diego- ca,2025,WAS
pat parkinson02/05/2007utica- ny,2025,UNSIGNED
jerry reilly05/27/2005hartwell- ga,2025,CIN
dylan morgan05/01/2004wayne- nj,2025,UNSIGNED
phil huff01/29/2003austin- tx,2025,SD
jerry porter05/12/2006wilmington- de,2025,NYY
steve harris08/06/2004murray- ut,2025,LAD
johnny glenn03/04/2007portland- or,2025,DET
charlie gardner05/26/2004bangor- me,2025,PIT
donnie schneider11/05/2003gold river- ca,2025,ARI
albert silva07/01/2006north augusta- sc,2025,UNSIGNED
steve hollis03/17/2003new york- ny,2025,MIA
hank young02/25/2004los angeles- ca,2025,MIN
del jackson09/11/2006poway- ca,2025,BOS
dan snell11/28/2006estill springs- tn,2025,ARI
ken francis02/12/2002grambling- la,2025,LAD
jeff walton06/14/2007prescott valley- az,2025,STL
dane jones01/20/2004brooklyn- ny,2025,CWS
ezra barnes03/22/2007sinking spring- pa,2025,ATL
steve bunch05/20/2006derry- nh,2025,MIA
darryl rusch11/15/2006alexandria- la,2025,UNSIGNED
bob randall12/25/2006anaheim- ca,2025,WAS
jose carlos gonzales08/30/2003philadelphia- pa,2025,LAD
dave osborne07/23/2007north ft. myers- fl,2025,UNSIGNED
wes anderson02/10/2007beloit- wi,2025,UNSIGNED
ron rigsby07/18/2006springfield- pa,2025,UNSIGNED
jerry conley11/05/2002ft. collins- co,2025,CWS
joe ayers08/03/2006omaha- ne,2025,LAD
negasi saad12/04/2006san jose- ca,2025,SD
cal thompson05/17/2007turlock- ca,2025,KC
bob sanderson04/26/2005portland- or,2025,UNSIGNED
clarence hayes07/18/2006spring- tx,2025,DET
jose vidro05/12/2007fajardo- hum,2025,UNSIGNED
ollie collier06/12/2006pocatello- id,2025,ARI
dave pelley02/04/2003calgary- ab,2025,NYM
arlen macpherson04/15/2006west gate- va,2025,ARI
bob smith03/10/2004palm desert- ca,2025,MIN
monty richards06/15/2006salinas- ca,2025,MIN
manny rodriguez12/29/2006guaynabo- bay,2025,SF
kip krause10/11/2006chicago- il,2025,UNSIGNED
steve davenport03/29/2006alamo- ca,2025,LAD
chris mcgowan12/12/2006plant city- fl,2025,UNSIGNED
doug marks07/07/2006eureka- ca,2025,SF
randy ball01/01/2006brooklyn- ny,2025,ATL
wen-zhong guao12/13/2006cornwall- on,2025,CHC
juan herrera11/24/2006pico rivera- ca,2025,UNSIGNED
chad sutton06/29/2006cottonwood west- ut,2025,SD
chris bartelot02/10/2006philadelphia- pa,2025,OAK
pete brown02/11/2003palisades park- nj,2025,NYY
chris hamilton09/27/2007memphis- tn,2025,TOR
chris meyer02/01/2006monroeville- pa,2025,LAA
ed o'quinn04/08/2006springfield- il,2025,SD
duane herron12/13/2006east missoula- mt,2025,UNSIGNED
ken davis01/25/2006paradise- nv,2025,LAA
joe swissher10/24/2006pacifica- ca,2025,SD
jim boyd12/05/2006los angeles- ca,2025,UNSIGNED
kevin thomas08/17/2003pine ridge- sd,2025,TEX
dan roberts09/02/2006chicago- il,2025,ATL
mike sather02/04/2006brownsville- fl,2025,PIT
